"Tiempo de simulacion","Cantidad de aeronaves que aterrizaron","Tiempo total de espera en cola","Tiempo medio de espera en cola","Tiempo máximo de espera en cola","Tiempo total de transito","Tiempo medio de tránsito","Tiempo máximo de tránsito","Tiempo total de ocio de la pista","Porcentaje de tiempo de ocio","Tiempo máximo de ocio de la pista","Porcentaje de tiempo de ocio maximo","Tamaño máximo de la cola de espera"
"40320.00","2677","16966.00","6.34","42.00","53061.00","19.82","57.00","4245.00","10.53","12.00","0.28","4"
"40320.00","2695","20936.00","7.77","66.00","57000.00","21.15","81.00","4271.00","10.59","12.00","0.28","5"
"40320.00","2688","18621.00","6.93","70.00","54390.00","20.23","85.00","4551.00","11.29","12.00","0.26","5"
"40320.00","2722","21048.00","7.73","53.00","57380.00","21.08","65.00","3988.00","9.89","12.00","0.30","5"
"40320.00","2678","18904.00","7.06","66.00","54825.00","20.47","79.00","4404.00","10.92","12.00","0.27","5"
"40320.00","2690","17963.00","6.68","68.00","53851.00","20.02","78.00","4432.00","10.99","12.00","0.27","5"
"40320.00","2691","21589.00","8.02","58.00","57739.00","21.46","75.00","4175.00","10.35","12.00","0.29","4"
"40320.00","2692","17898.00","6.65","54.00","53915.00","20.03","69.00","4306.00","10.68","12.00","0.28","4"
"40320.00","2703","20857.00","7.72","65.00","56820.00","21.02","85.00","4352.00","10.79","12.00","0.28","4"
"40320.00","2718","21318.00","7.84","65.00","57659.00","21.21","80.00","3990.00","9.90","12.00","0.30","5"
"40320.00","2699","18327.00","6.79","53.00","54715.00","20.27","68.00","3937.00","9.76","12.00","0.30","5"
"40320.00","2689","20110.00","7.48","65.00","56321.00","20.94","80.00","4114.00","10.20","12.00","0.29","5"
"40320.00","2690","14987.00","5.57","48.00","50858.00","18.91","63.00","4459.00","11.06","12.00","0.27","3"
"40320.00","2709","22719.00","8.39","69.00","59445.00","21.94","84.00","3599.00","8.93","12.00","0.33","5"
"40320.00","2687","18260.00","6.80","53.00","54078.00","20.13","73.00","4497.00","11.15","12.00","0.27","4"
"40320.00","2707","20020.00","7.40","55.00","56514.00","20.88","70.00","3836.00","9.51","12.00","0.31","4"
"40320.00","2691","19508.00","7.25","54.00","55635.00","20.67","69.00","4198.00","10.41","12.00","0.29","5"
"40320.00","2717","17643.00","6.49","45.00","54064.00","19.90","60.00","3904.00","9.68","12.00","0.31","4"
"40320.00","2666","14904.00","5.59","50.00","50449.00","18.92","65.00","4763.00","11.81","12.00","0.25","4"
"40320.00","2681","16537.00","6.17","50.00","52415.00","19.55","65.00","4452.00","11.04","12.00","0.27","4"
"40320.00","2679","18524.00","6.91","53.00","54526.00","20.35","70.00","4313.00","10.70","12.00","0.28","4"
"40320.00","2689","21388.00","7.95","69.00","57645.00","21.44","84.00","4068.00","10.09","12.00","0.29","5"
"40320.00","2694","18652.00","6.92","65.00","54644.00","20.28","80.00","4331.00","10.74","12.00","0.28","4"
"40320.00","2685","19646.00","7.32","73.00","55599.00","20.71","88.00","4372.00","10.84","12.00","0.27","6"
"40320.00","2686","17997.00","6.70","55.00","53935.00","20.08","75.00","4382.00","10.87","12.00","0.27","4"
"40320.00","2690","17997.00","6.69","43.00","54081.00","20.10","63.00","4256.00","10.56","12.00","0.28","4"
"40320.00","2675","16109.00","6.02","50.00","51795.00","19.36","63.00","4644.00","11.52","12.00","0.26","4"
"40320.00","2689","14787.00","5.50","48.00","50384.00","18.74","58.00","4723.00","11.71","12.00","0.25","4"
"40320.00","2688","15973.00","5.94","53.00","51739.00","19.25","73.00","4562.00","11.31","12.00","0.26","4"
